NIS-code,BEVOLKINGSDICHTHEID,WOONPLAATS
11001,1326,Aartselaar
11002,2597,Antwerpen
11004,663,Boechout
11005,2549,Boom
11007,2878,Borsbeek
11008,991,Brasschaat
11009,330,Brecht
11013,2568,Edegem
11016,407,Essen
11018,2156,Hemiksem
11021,1381,Hove
11022,323,Kalmthout
11023,737,Kapellen
11024,897,Kontich
11025,1513,Lint
11029,3364,Mortsel
11030,1991,Niel
11035,443,Ranst
11037,758,Rumst
11038,1118,Schelle
11039,555,Schilde
11040,1158,Schoten
11044,876,Stabroek
11050,1298,Wijnegem
11052,1015,Wommelgem
11053,241,Wuustwezel
11054,329,Zandhoven
11055,577,Zoersel
11056,951,Zwijndrecht
11057,304,Malle
12002,478,Berlaar
12005,525,Bonheiden
12007,467,Bornem
12009,786,Duffel
12014,503,Heist-op-den-Berg
12021,748,Lier
12025,1322,Mechelen
12026,593,Nijlen
12029,523,Putte
12035,782,Sint-Katelijne-Waver
12040,558,Willebroek
12041,728,Puurs-Sint-Amands
13001,241,Arendonk
13002,404,Baarle-Hertog
13003,315,Balen
13004,492,Beerse
13006,353,Dessel
13008,373,Geel
13010,403,Grobbendonk
13011,593,Herentals
13012,393,Herenthout
13013,281,Herselt
13014,208,Hoogstraten
13016,608,Hulshout
13017,265,Kasterlee
13019,280,Lille
13021,281,Meerhout
13023,195,Merksplas
13025,328,Mol
13029,544,Olen
13031,368,Oud-Turnhout
13035,161,Ravels
13036,240,Retie
13037,263,Rijkevorsel
13040,818,Turnhout
13044,290,Vorselaar
13046,976,Vosselaar
13049,457,Westerlo
13053,388,Laakdal
23002,687,Asse
23003,856,Beersel
23009,118,Bever
23016,1063,Dilbeek
23023,250,Galmaarden
23024,234,Gooik
23025,997,Grimbergen
23027,918,Halle
23032,151,Herne
23033,557,Hoeilaart
23038,367,Kampenhout
23039,625,Kapelle-op-den-Bos
23044,1342,Liedekerke
23045,524,Londerzeel
23047,1401,Machelen
23050,570,Meise
23052,474,Merchtem
23060,744,Opwijk
23062,575,Overijse
23064,125,Pepingen
23077,873,Sint-Pieters-Leeuw
23081,529,Steenokkerzeel
23086,659,Ternat
23088,2149,Vilvoorde
23094,1295,Zaventem
23096,539,Zemst
23097,535,Roosdaal
23098,2312,Drogenbos
23099,2386,Kraainem
23100,1124,Linkebeek
23101,819,Sint-Genesius-Rode
23102,1959,Wemmel
23103,2110,Wezembeek-Oppem
23104,299,Lennik
23105,751,Affligem
24001,485,Aarschot
24007,588,Begijnendijk
24008,173,Bekkevoort
24009,342,Bertem
24011,264,Bierbeek
24014,691,Boortmeerbeek
24016,269,Boutersem
24020,418,Diest
24028,175,Geetbets
24033,497,Haacht
24038,685,Herent
24041,200,Hoegaarden
24043,261,Holsbeek
24045,251,Huldenberg
24048,708,Keerbergen
24054,160,Kortenaken
24055,590,Kortenberg
24059,303,Landen
24062,1778,Leuven
24066,326,Lubbeek
24086,368,Oud-Heverlee
24094,465,Rotselaar
24104,680,Tervuren
