NIScode,%65plus,Gemeente
11001,25.4,Aartselaar
11002,16.3,Antwerpen
11004,22.4,Boechout
11005,17.3,Boom
11007,20.2,Borsbeek
11008,25.4,Brasschaat
11009,20.4,Brecht
11013,24.3,Edegem
11016,19.9,Essen
11018,17.3,Hemiksem
11021,25.2,Hove
11022,22.9,Kalmthout
11023,23.9,Kapellen
11024,21.6,Kontich
11025,20.4,Lint
11029,20.5,Mortsel
11030,16.6,Niel
11035,22.7,Ranst
11037,21.3,Rumst
11038,21.2,Schelle
11039,25.6,Schilde
11040,23.0,Schoten
11044,21.2,Stabroek
11050,23.1,Wijnegem
11052,21.9,Wommelgem
11053,19.4,Wuustwezel
11054,24.4,Zandhoven
11055,25.2,Zoersel
11056,21.5,Zwijndrecht
11057,21.8,Malle
12002,21.9,Berlaar
12005,24.7,Bonheiden
12007,23.1,Bornem
12009,21.6,Duffel
12014,22.3,Heist-op-den-Berg
12021,21.5,Lier
12025,17.6,Mechelen
12026,21.2,Nijlen
12029,22.4,Putte
12035,21.6,Sint-Katelijne-Waver
12040,18.0,Willebroek
12041,21.0,Puurs-Sint-Amands
13001,20.0,Arendonk
13002,21.3,Baarle-Hertog
13003,19.9,Balen
13004,19.5,Beerse
13006,20.8,Dessel
13008,20.6,Geel
13010,22.7,Grobbendonk
13011,22.1,Herentals
13012,22.5,Herenthout
13013,23.2,Herselt
13014,20.2,Hoogstraten
13016,20.4,Hulshout
13017,22.2,Kasterlee
13019,20.8,Lille
13021,22.1,Meerhout
13023,19.9,Merksplas
13025,21.3,Mol
13029,20.7,Olen
13031,23.0,Oud-Turnhout
13035,20.5,Ravels
13036,21.2,Retie
13037,19.3,Rijkevorsel
13040,19.9,Turnhout
13044,21.7,Vorselaar
13046,20.3,Vosselaar
13049,22.6,Westerlo
13053,21.7,Laakdal
23002,18.2,Asse
23003,18.3,Beersel
23009,18.2,Bever
23016,20.5,Dilbeek
23023,20.1,Galmaarden
23024,22.0,Gooik
23025,19.4,Grimbergen
23027,19.3,Halle
23032,21.7,Herne
23033,19.3,Hoeilaart
23038,19.3,Kampenhout
23039,21.5,Kapelle-op-den-Bos
23044,21.1,Liedekerke
23045,20.9,Londerzeel
23047,14.2,Machelen
23050,21.2,Meise
23052,20.4,Merchtem
23060,19.7,Opwijk
23062,19.8,Overijse
23064,20.9,Pepingen
23077,18.2,Sint-Pieters-Leeuw
23081,20.0,Steenokkerzeel
23086,20.7,Ternat
23088,14.2,Vilvoorde
23094,16.0,Zaventem
23096,20.1,Zemst
23097,20.1,Roosdaal
23098,15.2,Drogenbos
23099,18.1,Kraainem
23100,20.6,Linkebeek
23101,19.8,Sint-Genesius-Rode
23102,19.3,Wemmel
23103,20.1,Wezembeek-Oppem
23104,22.9,Lennik
23105,20.2,Affligem
24001,23.1,Aarschot
24007,22.7,Begijnendijk
24008,21.1,Bekkevoort
24009,20.3,Bertem
24011,22.7,Bierbeek
24014,20.8,Boortmeerbeek
24016,19.8,Boutersem
24020,23.0,Diest
24028,21.2,Geetbets
24033,21.9,Haacht
24038,20.4,Herent
24041,18.7,Hoegaarden
24043,20.8,Holsbeek
24045,20.3,Huldenberg
24048,25.0,Keerbergen
24054,23.0,Kortenaken
24055,19.7,Kortenberg
24059,21.4,Landen
24062,16.8,Leuven
24066,23.5,Lubbeek
24086,21.5,Oud-Heverlee
24094,20.5,Rotselaar
24104,18.6,Tervuren
24107,22.3,Tienen
24109,23.2,Tremelo
24130,23.0,Zoutleeuw
24133,21.8,Linter
24134,24.5,Scherpenheuvel-Zichem
24135,21.6,Tielt-Winge
24137,21.9,Glabbeek
31003,22.0,Beernem
31004,33.6,Blankenberge
31005,24.7,Brugge
31006,24.6,Damme
31012,24.0,Jabbeke
31022,22.2,Oostkamp
31033,23.0,Torhout
31040,21.7,Zedelgem
31042,23.5,Zuienkerke
31043,37.2,Knokke-Heist
32003,22.1,Diksmuide
32006,18.9,Houthulst
32010,22.0,Koekelare
32011,21.7,Kortemark
32030,20.0,Lo-Reninge
33011,24.0,Ieper
33016,17.9,Mesen
33021,23.8,Poperinge
33029,22.0,Wervik
33037,19.8,Zonnebeke
33039,20.5,Heuvelland
33040,19.9,Langemark-Poelkapelle
33041,19.9,Vleteren
34002,20.9,Anzegem
34003,21.0,Avelgem
34009,20.6,Deerlijk
34013,20.9,Harelbeke
34022,21.7,Kortrijk
34023,21.8,Kuurne
34025,24.1,Lendelede
34027,21.2,Menen
34040,22.3,Waregem
34041,21.9,Wevelgem
34042,21.0,Zwevegem
34043,15.4,Spiere-Helkijn
35002,25.1,Bredene
35005,21.2,Gistel
35006,21.0,Ichtegem
35011,34.7,Middelkerke
35013,29.0,Oostende
35014,22.7,Oudenburg
35029,36.2,De Haan
36006,21.5,Hooglede
36007,21.6,Ingelmunster
36008,21.8,Izegem
36010,22.0,Ledegem
36011,20.5,Lichtervelde
36012,22.2,Moorslede
36015,20.6,Roeselare
36019,20.4,Staden
37002,19.9,Dentergem
37007,21.7,Meulebeke
37010,19.7,Oostrozebeke
37011,21.6,Pittem
37012,21.0,Ruiselede
37015,22.8,Tielt
37017,17.8,Wielsbeke
37018,20.0,Wingene
37020,23.5,Ardooie
38002,18.6,Alveringem
38008,33.1,De Panne
38014,42.5,Koksijde
38016,37.5,Nieuwpoort
38025,25.4,Veurne
41002,20.2,Aalst
41011,17.8,Denderleeuw
41018,21.0,Geraardsbergen
41024,20.8,Haaltert
41027,20.1,Herzele
41034,21.8,Lede
41048,21.1,Ninove
41063,20.1,Sint-Lievens-Houtem
41081,22.7,Zottegem
41082,21.7,Erpe-Mere
42003,21.8,Berlare
42004,21.8,Buggenhout
42006,21.4,Dendermonde
42008,20.1,Hamme
42010,22.6,Laarne
42011,20.0,Lebbeke
42023,20.9,Waasmunster
42025,20.4,Wetteren
42026,20.5,Wichelen
42028,19.6,Zele
43002,22.8,Assenede
43005,23.0,Eeklo
43007,22.9,Kaprijke
43010,22.2,Maldegem
43014,22.4,Sint-Laureins
43018,20.7,Zelzate
44012,23.5,De Pinte
44013,23.1,Destelbergen
44019,21.2,Evergem
44020,21.4,Gavere
44021,16.6,Gent
44034,21.2,Lochristi
44040,20.3,Melle
44043,20.9,Merelbeke
44045,20.3,Moerbeke
44048,22.0,Nazareth
44052,20.1,Oosterzele
44064,27.4,Sint-Martens-Latem
44073,22.3,Wachtebeke
44081,18.6,Zulte
44083,21.3,Deinze
44084,22.4,Aalter
44085,24.0,Lievegem
45035,21.3,Oudenaarde
45041,19.3,Ronse
45059,22.7,Brakel
45060,19.9,Kluisbergen
45061,20.3,Wortegem-Petegem
45062,27.1,Horebeke
45063,22.0,Lierde
45064,23.9,Maarkedal
45065,20.7,Zwalm
45068,19.8,Kruisem
46003,22.1,Beveren
46013,20.6,Kruibeke
46014,18.7,Lokeren
46020,20.6,Sint-Gillis-Waas
46021,19.8,Sint-Niklaas
46024,21.5,Stekene
46025,19.8,Temse
71002,19.6,As
71004,18.9,Beringen
71011,21.8,Diepenbeek
71016,20.3,Genk
71017,19.5,Gingelom
71020,22.3,Halen
71022,23.4,Hasselt
71024,21.8,Herk-de-Stad
71034,20.2,Leopoldsburg
71037,22.5,Lummen
71045,22.1,Nieuwerkerken
71053,23.7,Sint-Truiden
71057,21.8,Tessenderlo
71066,21.1,Zonhoven
71067,23.6,Zutendaal
71069,20.0,Ham
71070,19.8,Heusden-Zolder
72003,21.6,Bocholt
72004,22.4,Bree
72018,21.6,Kinrooi
72020,22.1,Lommel
72021,22.4,Maaseik
72030,20.5,Peer
72037,23.6,Hamont-Achel
72038,19.7,Hechtel-Eksel
72039,19.6,Houthalen-Helchteren
72041,20.0,Dilsen-Stokkem
72042,20.7,Oudsbergen
72043,21.8,Pelt
73001,21.8,Alken
73006,21.6,Bilzen
73009,22.7,Borgloon
73022,21.1,Heers
73028,20.3,Herstappe
73032,21.5,Hoeselt
73040,22.7,Kortessem
73042,23.5,Lanaken
73066,22.0,Riemst
73083,23.6,Tongeren
73098,22.5,Wellen
73107,19.3,Maasmechelen
73109,21.1,Voeren
