NIS-code,%-groei(2015-2020),Gemeente
11001,2.7,Aartselaar
11002,1.9,Antwerpen
11004,6.4,Boechout
11005,5.9,Boom
11007,6.1,Borsbeek
11008,1.2,Brasschaat
11009,4.7,Brecht
11013,2.5,Edegem
11016,2.9,Essen
11018,5.2,Hemiksem
11021,2.0,Hove
11022,3.7,Kalmthout
11023,2.6,Kapellen
11024,1.9,Kontich
11025,-2.6,Lint
11029,2.3,Mortsel
11030,3.5,Niel
11035,2.0,Ranst
11037,1.1,Rumst
11038,4.0,Schelle
11039,2.6,Schilde
11040,-0.3,Schoten
11044,1.5,Stabroek
11050,6.1,Wijnegem
11052,3.1,Wommelgem
11053,5.2,Wuustwezel
11054,2.6,Zandhoven
11055,2.1,Zoersel
11056,1.4,Zwijndrecht
11057,3.3,Malle
12002,3.0,Berlaar
12005,3.3,Bonheiden
12007,2.2,Bornem
12009,2.7,Duffel
12014,2.8,Heist-op-den-Berg
12021,5.9,Lier
12025,1.6,Mechelen
12026,2.5,Nijlen
12029,5.8,Putte
12035,3.4,Sint-Katelijne-Waver
12040,5.2,Willebroek
12041,2.8,Puurs-Sint-Amands
13001,0.3,Arendonk
13002,11.2,Baarle-Hertog
13003,2.9,Balen
13004,2.6,Beerse
13006,1.7,Dessel
13008,4.0,Geel
13010,1.8,Grobbendonk
13011,2.4,Herentals
13012,5.0,Herenthout
13013,2.2,Herselt
13014,2.8,Hoogstraten
13016,2.2,Hulshout
13017,3.5,Kasterlee
13019,1.7,Lille
13021,0.0,Meerhout
13023,0.7,Merksplas
13025,4.0,Mol
13029,1.6,Olen
13031,7.1,Oud-Turnhout
13035,3.3,Ravels
13036,4.3,Retie
13037,3.7,Rijkevorsel
13040,6.7,Turnhout
13044,3.1,Vorselaar
13046,5.0,Vosselaar
13049,2.5,Westerlo
13053,3.7,Laakdal
23002,5.5,Asse
23003,4.1,Beersel
23009,4.9,Bever
23016,4.9,Dilbeek
23023,1.2,Galmaarden
23024,1.7,Gooik
23025,4.1,Grimbergen
23027,6.7,Halle
23032,2.3,Herne
23033,3.0,Hoeilaart
23038,4.9,Kampenhout
23039,2.4,Kapelle-op-den-Bos
23044,4.2,Liedekerke
23045,4.1,Londerzeel
23047,6.4,Machelen
23050,5.6,Meise
23052,8.7,Merchtem
23060,3.3,Opwijk
23062,3.5,Overijse
23064,2.2,Pepingen
23077,5.1,Sint-Pieters-Leeuw
23081,4.6,Steenokkerzeel
23086,5.5,Ternat
23088,6.2,Vilvoorde
23094,7.6,Zaventem
23096,0.3,Zemst
23097,1.0,Roosdaal
23098,5.7,Drogenbos
23099,2.0,Kraainem
23100,-0.3,Linkebeek
23101,2.2,Sint-Genesius-Rode
23102,6.5,Wemmel
23103,3.2,Wezembeek-Oppem
23104,3.1,Lennik
23105,2.6,Affligem
24001,3.2,Aarschot
24007,3.9,Begijnendijk
24008,5.3,Bekkevoort
24009,3.5,Bertem
24011,2.6,Bierbeek
24014,6.4,Boortmeerbeek
24016,2.5,Boutersem
24020,3.8,Diest
24028,2.7,Geetbets
24033,5.7,Haacht
24038,5.0,Herent
24041,-1.4,Hoegaarden
24043,1.9,Holsbeek
24045,2.6,Huldenberg
24048,3.2,Keerbergen
24054,0.0,Kortenaken
24055,2.4,Kortenberg
24059,1.4,Landen
24062,1.9,Leuven
24066,3.5,Lubbeek
24086,3.4,Oud-Heverlee
24094,4.0,Rotselaar
24104,4.3,Tervuren
24107,4.7,Tienen
24109,2.9,Tremelo
24130,1.7,Zoutleeuw
24133,0.3,Linter
24134,2.0,Scherpenheuvel-Zichem
24135,3.3,Tielt-Winge
24137,0.3,Glabbeek
31003,2.3,Beernem
31004,0.7,Blankenberge
31005,0.3,Brugge
31006,0.9,Damme
31012,2.0,Jabbeke
31022,3.0,Oostkamp
31033,0.1,Torhout
31040,2.7,Zedelgem
31042,-2.1,Zuienkerke
31043,-1.0,Knokke-Heist
32003,1.2,Diksmuide
32006,2.4,Houthulst
32010,0.4,Koekelare
32011,2.6,Kortemark
32030,-2.2,Lo-Reninge
33011,0.1,Ieper
33016,1.2,Mesen
33021,0.2,Poperinge
33029,1.8,Wervik
33037,1.6,Zonnebeke
33039,2.7,Heuvelland
33040,-0.3,Langemark-Poelkapelle
33041,-0.3,Vleteren
34002,3.3,Anzegem
34003,2.4,Avelgem
34009,5.5,Deerlijk
34013,5.1,Harelbeke
34022,2.6,Kortrijk
34023,5.7,Kuurne
34025,0.6,Lendelede
34027,2.6,Menen
34040,2.8,Waregem
34041,0.3,Wevelgem
34042,2.5,Zwevegem
34043,-4.0,Spiere-Helkijn
35002,3.3,Bredene
35005,0.7,Gistel
35006,1.4,Ichtegem
35011,2.8,Middelkerke
35013,0.8,Oostende
35014,4.2,Oudenburg
35029,0.7,De Haan
36006,0.0,Hooglede
